%;m;t;N;h;град;T;град.сек
1;61;168.4;1;5;2.37;168.4;0.014
2;61;170.9;1;5;2.37;170.9;0.014
3;93;221.3;2;8;3.79;110.7;0.017
4;93;222.6;2;7;3.32;111.3;0.015
5;93;221.6;2;8;3.79;110.8;0.017
6;142;216.6;3;9;4.26;72.2;0.020
7;142;215;3;8;3.79;71.7;0.018
8;142;215.8;3;9;4.26;71.9;0.020
9;214;143;3;4;1.90;47.7;0.013
10;214;143;3;3;1.42;47.7;0.010
11;335;122.2;4;5;2.37;30.6;0.019
12;335;123.7;4;5;2.37;30.9;0.019
13;335;125.1;4;4;1.90;31.3;0.015
14;335;122.7;4;5;2.37;30.7;0.019
;;;;;;;
%;m;T;dt;Q, 10-2;dQ,10-2;M, 10 Нм;dM
1;61;169.7;1.6;3.70;0.03;7.2;0.1
2;93;110.9;0.1;5.66;0.01;11.0;0.1
3;142;71.9;0.1;8.73;0.01;16.9;0.1
4;214;47.7;0.1;13.18;0.03;25.4;0.2
5;335;30.9;0.1;20.36;0.08;39.8;0.3
