Дерево,,,,,,,,
"$y$, мм",6.00,5.26,4.51,3.86,,,,
"$y_{max}$, мм",0.00,0.74,1.49,2.14,,,,
"$\Delta m$, г",0.0,503.3,511.0,482.5,,,,
"$P$, Н",0.0,4.9,9.9,14.7,,,,
Перевернутое дерево,,,,,,,,
"$y$, мм",6.00,5.26,4.47,3.73,,,,
"$y_{max}$, мм",0.00,0.74,1.53,2.27,,,,
"$\Delta m$, г",0.0,503.3,511.0,482.5,,,,
"$P$, Н",0.0,4.9,9.9,14.7,,,,
Сталь,,,,,,,,
"$y$, мм",9.00,8.35,7.61,6.98,6.31,5.67,5.01,4.39
"$y_{max}$, мм",0.00,0.65,1.39,2.02,2.69,3.33,3.99,4.61
"$\Delta m$, г",0.0,511.0,503.3,483.3,503.1,467.9,478.0,466.7
"$P$, Н",0.0,5.0,9.9,14.7,19.6,24.2,28.9,33.5
Перевернутая сталь,,,,,,,,
"$y$, мм",9.00,8.35,7.50,6.95,6.29,5.71,4.99,4.47
"$y_{max}$, мм",0.00,0.65,1.50,2.05,2.71,3.29,4.01,4.53
"$\Delta m$, г",0.0,511.0,503.3,483.3,503.1,467.9,478.0,466.7
"$P$, Н",0.0,5.0,9.9,14.7,19.6,24.2,28.9,33.5
Латунь,,,,,,,,
"$y$, мм",9.00,7.80,6.53,5.37,4.14,3.02,,
"$y_{max}$, мм",0.00,1.20,2.47,3.63,4.86,5.98,,
"$\Delta m$, г",0.0,503.3,511.0,482.5,503.1,467.9,,
"$P$, Н",0.0,4.9,9.9,14.7,19.6,24.2,,
Перевернутая латунь,,,,,,,,
"$y$, мм",9.00,7.76,6.56,5.38,4.13,3.01,,
"$y_{max}$, мм",0.00,1.24,2.44,3.62,4.87,5.99,,
"$\Delta m$, г",0.0,503.3,511.0,482.5,503.1,467.9,,
"$P$, Н",0.0,4.9,9.9,14.7,19.6,24.2,,
