Q;t;p;d;w;sigma_d
0.5;86.46;5;3.95;0;0.05
1;65.22;12;3.95;0;0.05
1;46.07;17;3.95;0;0.05
1;36.32;22;3.95;0;0.05
1.5;39.05;31;3.95;0;0.05
1.5;30.64;39;3.95;0;0.05
2;36.67;45;3.95;0;0.05
2;30.24;55;3.95;0;0.05
3;28.77;97;3.95;1;0.05
3;27.58;107;3.95;1;0.05
3;26.44;124;3.95;1;0.05
3;25.34;144;3.95;1;0.05
3;24.62;162;3.95;1;0.05
3.5;27.11;191;3.95;1;0.05
3.5;25.8;212;3.95;1;0.05
3.5;24.22;241;3.95;1;0.05
1;54.44;4.5;5.1;0;0.05
1.5;34.49;11;5.1;0;0.05
1.5;24.51;15;5.1;0;0.05
2.5;26.8;23;5.1;0;0.05
3;24.77;30;5.1;0;0.05
2;27.54;18;5.1;0;0.05
1;31.17;8;5.1;0;0.05
4;23.88;64;5.1;1;0.05
5;28.24;76;5.1;1;0.05
5;25.45;92;5.1;1;0.05
5;20.25;137;5.1;1;0.05
5;19.62;148;5.1;1;0.05
6;22.48;160;5.1;1;0.05
0.5;95.33;7;3;0;0.1
0.5;40.2;17;3;0;0.1
0.5;24.69;28;3;0;0.1
1;34.39;40.5;3;0;0.1
1.5;42.14;49;3;0;0.1
1.5;32.49;70;3;0;0.1
1;25.41;58.5;3;0;0.1
1;38.37;36;3;0;0.1
2;22.02;187;3;1;0.1
2;23.3;160;3;1;0.1
2;25.26;144;3;1;0.1
2.5;25.63;206;3;1;0.1
2.5;25.41;216;3;1;0.1
3;27.56;258;3;1;0.1
3;27.38;265;3;1;0.1
