t;U
0;11.3371
0.986;11.3096
1.985;11.2812
2.985;11.2546
3.986;11.2269
4.986;11.2
5.986;11.1734
6.986;11.1474
7.985;11.1208
8.986;11.0943
9.985;11.0681
10.985;11.0419
11.985;11.0159
12.985;10.9904
13.986;10.9648
14.985;10.9391
15.986;10.9132
16.986;10.8889
17.986;10.8634
18.986;10.8376
19.985;10.8124
20.986;10.7877
21.986;10.7627
22.985;10.7365
23.985;10.712
24.985;10.6867
25.985;10.6621
26.985;10.6363
27.985;10.6141
28.984;10.5886
29.984;10.5646
30.984;10.5388
31.984;10.5155
32.984;10.4933
33.984;10.4684
34.984;10.4459
35.984;10.421
36.984;10.3973
37.984;10.3735
38.984;10.3495
39.984;10.3267
40.984;10.3023
41.984;10.2785
42.984;10.2554
43.984;10.2309
44.984;10.2085
45.984;10.1835
46.984;10.1605
47.984;10.1364
48.984;10.1131
49.984;10.0889
50.984;10.0673
51.984;10.044
52.984;10.0198
53.985;9.9974
54.985;9.9735
55.985;9.9503
56.986;9.929
57.986;9.9054
58.985;9.8823
59.985;9.86
60.985;9.8354
61.985;9.8141
62.986;9.7908
63.986;9.7683
64.986;9.7458
65.986;9.7237
66.985;9.7002
67.985;9.6783
68.985;9.6571
69.986;9.6335
70.986;9.6112
71.986;9.5885
72.985;9.5668
73.986;9.5454
74.986;9.5229
75.986;9.5003
76.986;9.4793
77.986;9.4579
78.985;9.4363
79.986;9.4131
80.985;9.3924
81.986;9.368
82.986;9.3468
83.986;9.3265
84.985;9.3045
85.986;9.2815
86.986;9.2603
87.985;9.2405
88.986;9.2175
89.985;9.1973
90.986;9.1747
91.985;9.155
92.985;9.1332
93.986;9.1112
94.985;9.0906
95.986;9.0696
96.985;9.0483
97.986;9.027
98.985;9.0063
99.986;8.9846
100.986;8.9649
101.986;8.9442
102.986;8.9243
103.985;8.903
104.986;8.8816
105.985;8.8626
106.985;8.8439
107.985;8.8241
108.986;8.8016
109.986;8.783
110.985;8.7634
111.985;8.7436
112.986;8.7225
113.986;8.7028
114.986;8.6843
115.985;8.6651
116.985;8.6447
117.986;8.6244
118.986;8.6048
119.985;8.5861
120.985;8.5677
121.986;8.5463
122.985;8.5285
123.985;8.5094
124.986;8.489
125.985;8.4721
126.985;8.4525
127.985;8.4336
128.985;8.4138
129.985;8.3945
130.985;8.3765
131.986;8.3582
132.986;8.3396
133.986;8.3202
134.986;8.3005
135.985;8.2819
136.985;8.264
137.986;8.2443
138.986;8.2253
139.985;8.2064
140.985;8.189
141.985;8.1707
142.986;8.1522
143.986;8.1343
144.986;8.1164
145.986;8.0973
146.985;8.0792
147.985;8.061
148.985;8.0421
149.985;8.0242
150.985;8.0051
151.986;7.9876
152.986;7.969
153.985;7.9498
154.986;7.9328
155.986;7.9152
156.986;7.896
157.985;7.8773
158.985;7.8601
159.986;7.8413
160.986;7.8244
161.986;7.8058
162.986;7.7886
163.986;7.7686
164.986;7.7513
165.985;7.7333
166.985;7.7155
167.986;7.698
168.985;7.681
169.985;7.664
170.986;7.6459
171.986;7.6288
172.986;7.6127
173.985;7.5954
174.985;7.5786
175.986;7.562
176.986;7.5447
177.986;7.5265
178.985;7.5107
179.985;7.494
180.986;7.4771
181.986;7.4606
182.986;7.4443
183.985;7.429
184.985;7.4121
185.986;7.3951
186.986;7.3787
187.986;7.3638
188.985;7.347
189.986;7.3315
190.985;7.3171
191.986;7.2986
192.986;7.2837
193.985;7.2672
194.986;7.2515
195.986;7.2357
196.985;7.2222
197.985;7.206
198.986;7.1891
199.986;7.1733
200.986;7.1584
201.985;7.1427
202.986;7.1255
203.985;7.1096
204.985;7.0954
205.986;7.0781
206.985;7.0639
207.985;7.0477
208.985;7.0331
209.986;7.017
210.985;7.002
211.985;6.9854
212.985;6.9707
213.985;6.9545
214.986;6.9401
215.985;6.9237
216.985;6.9087
217.986;6.8947
218.985;6.8787
219.985;6.8638
220.986;6.8485
221.986;6.8329
222.985;6.8181
223.985;6.803
224.985;6.7877
225.985;6.7727
226.986;6.7571
227.986;6.7415
228.985;6.7264
229.985;6.7118
230.986;6.6979
231.986;6.6816
232.986;6.6674
233.986;6.6513
234.985;6.6343
235.985;6.6177
236.986;6.604
