t,P,,t,P
0,1.7,,0,1.6
1.5,1.8,,1,1.7
2.5,1.9,,2,1.8
3.5,2,,3,1.9
4.5,2.1,,4.5,2
5.5,2.2,,5.5,2.1
6.5,2.3,,6.5,2.2
7.5,2.4,,7.5,2.3
8.5,2.5,,8.5,2.4
9.5,2.6,,9.5,2.5
10.5,2.7,,11,2.6
12,2.8,,12,2.7
13,2.9,,13,2.8
14,3,,14,2.9
15,3.1,,15.5,3
16,3.2,,16.5,3.1
17,3.3,,18,3.2
18.5,3.4,,19,3.3
19.5,3.5,,20,3.4
20.5,3.6,,21.5,3.5
21.5,3.7,,22.5,3.6
23,3.8,,24,3.7
24,3.9,,25,3.8
25.5,4,,26.5,3.9
26.5,4.1,,27.5,4
27.5,4.2,,29,4.1
28.5,4.3,,30,4.2
30,4.4,,31.5,4.3
31,4.5,,33,4.4
32.5,4.6,,34,4.5
34,4.7,,35.5,4.6
35.5,4.8,,36.5,4.7
37,4.9,,38,4.8
38.5,5,,39.5,4.9
40,5.1,,40.5,5
41.5,5.2,,42,5.1
43,5.3,,43.5,5.2
44.5,5.4,,45,5.3
46,5.5,,46,5.4
47.5,5.6,,47.5,5.5
49.5,5.7,,49,5.6
51,5.8,,50.5,5.7
52.5,5.9,,51.5,5.8
54,6,,53,5.9
55.5,6.1,,54.5,6
57,6.2,,56,6.1
58.5,6.3,,57.5,6.2
60,6.4,,59,6.3
61.5,6.5,,60,6.4
63,6.6,,62,6.5
64.5,6.7,,63,6.6
66,6.8,,64.5,6.7
67.5,6.9,,66,6.8
69,7,,67.5,6.9
,,,69.5,7
