T, C	$H_{up}$, мм	$H_{down}$, мм	$\Delta H_{up}$, мм	$\Delta H_{down}$, мм	1/T, 1/K $\cdot 10 ^ {-4}$	$ln(\frac{P_{up}}{P_0})$	$ln(\frac{P_{down}}{P_0})$
20	79.5	79.6	18.00	17.80	341.3	0.000	-0.011
21	79.0	79.1	19.00	18.80	340.1	0.054	0.043
22	78.7	78.4	19.60	20.20	339.0	0.085	0.115
23	78.0	78.0	21.00	21.00	337.8	0.154	0.154
24	77.4	77.5	22.20	22.00	336.7	0.210	0.201
25	76.9	77.0	23.20	23.00	335.6	0.254	0.245
26	76.2	76.2	24.60	24.60	334.4	0.312	0.312
27	75.5	75.4	26.00	26.20	333.3	0.368	0.375
28	74.8	74.7	27.40	27.60	332.2	0.420	0.427
29	74.2	73.8	28.60	29.40	331.1	0.463	0.491
30	73.5	72.9	30.00	31.20	330.0	0.511	0.550
31	72.5	72.2	32.00	32.60	328.9	0.575	0.594
32	71.7	71.3	33.60	34.40	327.9	0.624	0.648
33	70.8	70.0	35.40	37.00	326.8	0.676	0.721
34	69.7	69.2	37.60	38.60	325.7	0.737	0.763
35	68.4	68.0	40.20	41.00	324.7	0.803	0.823
36	67.6	66.9	41.80	43.20	323.6	0.843	0.875
37	66.1	65.9	44.80	45.20	322.6	0.912	0.921
38	65.0	64.7	47.00	47.60	321.5	0.960	0.972
39	63.8	63.7	49.40	49.60	320.5	1.010	1.014
40	62.4	62.4	52.20	52.20	319.5	1.065	1.065
