"t, us",516,,"C, nF","T, us",,R,y1,y2,N ,,R,,f,R,L
N ,9,,2,92,,400,750,100,4,,400,,50,23.26,99.99
"T, us",57.3333333333333,,3,112,,600,668,104,3,,600,,500,23.49,99.96
"C_0, nF",0.832634971354145,,4,128,,800,596,60,3,,800,,1500,24.68,99.99
,,,5,142,,1000,548,32,3,,1000,,,,
"C*, nF",6,,6,156,,1300,444,60,2,,1200,,,,
"R_cr, kOm",8.164,,7,169,,1500,400,60,2,,1400,,,,
R,7500,,8,180,,,,,,,1600,,,,
,,,9,191,,,,,,,1800,,,,
,,,10,202,,,,,,,2000,,,,
"res, kHz","delta_x, us","U, V",R,,,,,,,,,,,,
6.4,37.6,20,400,,,,,,,,,,,,
6.2,52,16.8,400,,,,,,,,,,,,
6,63,12,400,,,,,,,,,,,,
6.6,26,19.4,400,,,,,,,,,,,,
6.8,16.4,15.8,400,,,,,,,,,,,,
7,14,12.6,400,,,,,,,,,,,,
7.1,9.6,11.6,,,,,,,,,,,,,
7.2,8,10.4,,,,,,,,,,,,,
6.9,13.6,14.4,,,,,,,,,,,,,
6.7,20.8,17.6,,,,,,,,,,,,,
6.5,31.6,20.8,,,,,,,,,,,,,
6.3,44.8,19,,,,,,,,,,,,,
6.1,58.4,14.4,,,,,,,,,,,,,
5.9,66.8,10.2,,,,,,,,,,,,,
5.7,72,7.6,,,,,,,,,,,,,
5.8,69.6,8.8,,,,,,,,,,,,,
5.6,74.4,6.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
6,52.8,8.6,800,,,,,,,,,,,,
6.2,44,10.4,800,,,,,,,,,,,,
6.4,36.4,11.4,,,,,,,,,,,,,
6.6,28.4,11.4,,,,,,,,,,,,,
6.8,21.6,10.6,,,,,,,,,,,,,
7,17,9.4,,,,,,,,,,,,,
5.6,64,5.8,,,,,,,,,,,,,
6.7,61.2,6.6,,,,,,,,,,,,,
5.8,59.2,7.2,,,,,,,,,,,,,
5.9,54.8,7.8,,,,,,,,,,,,,
6.1,48,9.4,,,,,,,,,,,,,
6.3,40,10.6,,,,,,,,,,,,,
6.5,32.4,11.4,,,,,,,,,,,,,
6.9,18.8,10,,,,,,,,,,,,,
7.1,15.2,9,,,,,,,,,,,,,
7.2,12.4,8.4,,,,,,,,,,,,,
7.3,12,8,,,,,,,,,,,,,
7.4,9.6,7.6,,,,,,,,,,,,,
7.5,9.2,7.2,,,,,,,,,,,,,
