f1,V1,f2,V2
1470,10.8,1260,2.76
1475,11.2,1270,2.88
1480,12,1280,3
1485,12.8,1290,3.16
1490,13.6,1300,3.24
1495,14.4,1310,3.36
1500,15.6,1320,3.52
1505,16.8,1330,3.68
1510,18,1340,3.84
1515,19.6,1350,4
1520,21.2,1360,4.16
1525,23,1370,4.36
1530,25.2,1380,4.56
1535,27.2,1390,4.84
1540,29.4,1400,5.04
1545,31.8,1410,5.32
1550,33.4,1420,5.6
1555,34.6,1430,5.88
1560,35,1440,6.28
1565,34.6,1450,6.52
1570,33.4,1460,6.96
1575,31.6,1470,7.24
1580,29.4,1480,7.64
1585,27.4,1490,8
1590,25.4,1500,8.36
1595,23.6,1510,8.68
1600,22,1520,9
1605,20.4,1530,9.28
1610,19.2,1540,9.52
1615,17.8,1550,9.68
1620,16.8,1560,9.8
1625,16,1570,9.76
1630,15.2,1580,9.72
1635,14.4,1590,9.64
1640,13.6,1600,9.48
1645,12.8,1610,9.28
1650,12.4,1620,9
1655,12,1630,8.72
1660,11.6,1640,8.48
1665,10.8,1650,8.2
,,1660,7.92
,,1670,7.69
,,1680,7.4
,,1690,7.16
,,1700,6.92
,,1710,6.68
,,1720,6.48
,,1730,6.28
,,1740,6.12
,,1750,5.96
,,1760,5.76
,,1770,5.64
,,1780,5.44
,,1790,5.32
,,1800,5.2
,,1810,5.08
,,1820,5
,,1830,4.92
,,1850,4.64
,,1870,4.48
,,1890,4.32
,,1910,4.2
,,1930,4
,,1950,3.88
,,1970,3.84
