k1,Uk1,k2,Uk2,m1,Um1,m2,Um2
0,16,0,4.72,0,16,0,4.72
1,0.56,1,0.48,1,13.8,1,2.88
2,2.16,2,1.84,2,12.2,2,1.8
3,3.84,3,2.88,3,10.6,3,1.12
4,5.36,4,3.56,4,9.2,4,0.72
5,6.72,5,3.96,5,8.2,5,0.44
6,7.92,6,4.24,6,7.2,6,0.32
7,8.96,7,4.4,7,6.2,7,0.176
8,9.6,8,4.48,8,5.4,,
9,10.4,9,4.64,9,4.8,,
10,11.2,,,10,4.2,,
11,11.8,,,11,3.6,,
12,12.4,,,12,3.2,,
13,12.8,,,13,2.8,,
14,13.4,,,14,2.48,,
20,14.8,,,15,2.16,,
30,15.8,,,16,1.84,,
,,,,17,1.68,,
,,,,18,1.52,,
,,,,19,1.28,,
,,,,20,1.12,,
,,,,25,0.64,,
,,,,35,0.24,,
