B,I,U1,U2
522,20.12,-0.053,-0.0414
522,40.49,-0.1111,-0.0848
522,60.03,-0.164,-0.1273
522,80.48,-0.2229,-0.1726
522,101.09,-0.2823,-0.2186
615,20.13,-0.0553,-0.0396
615,40.57,-0.1132,-0.0833
615,60.67,-0.1713,-0.1256
615,80.54,-0.229,-0.1685
615,100.89,-0.289,-0.2138
708,20.26,-0.0561,-0.0386
708,40.79,-0.1161,-0.0812
708,60.68,-0.1746,-0.1222
708,80.58,-0.2337,-0.1642
708,100.85,-0.2937,-0.208
809,20.08,-0.0573,-0.0381
809,41.06,-0.1196,-0.0804
809,60,-0.1755,-0.1189
809,80.94,-0.239,-0.1623
809,100.4,-0.2984,-0.2032
906,20.6,-0.0597,-0.0383
906,40.31,-0.1185,-0.0777
906,60.69,-0.1798,-0.1184
906,81.44,-0.24,-0.1583
906,100.93,-0.3041,-0.2007
991,20.23,-0.0587,-0.0363
991,40.84,-0.1207,-0.0772
991,60.11,-0.1806,-0.1153
991,80.58,-0.243,-0.1564
991,100.72,-0.306,-0.1965
