f,I,U,p1,p2
115,416.63,549.9,3.1,4.4
125,409.57,572.4,5.8,8.1
135,404,593.1,5.4,7.5
145,398.87,611.2,5.1,7
155,394.08,627.2,4.9,6.5
165,389.63,641.2,4.6,6.2
180,383.57,659.2,4.3,5.6
190,379.9,669.5,4.1,5.3
200,376.5,678.5,3.9,5
210,373.36,686.4,3.8,4.8
220,370.44,693.6,3.6,4.5
230,367.76,699.9,3.4,4.2
290,354.98,725.1,7.4,8.8
350,345.97,736.9,6.8,7.8
410,339.06,741.5,5.4,6
470,333.24,741.9,4.9,5.1
530,328.06,739.5,8.8,9.5
590,323.21,735.2,8,8.5
650,318.56,729.3,7.3,7.7
710,313.95,722.3,6.9,7.1
770,309.35,714.5,6.3,6.6
830,304.77,706,5.9,6.1
890,300.21,696.9,5.55,5.7
950,295.6,687.4,5.2,5.3
1010,290.99,677.6,5.9,6
1070,286.37,667.6,4.6,4.6
1130,281.71,657.3,4.2,4.2
1337,265.94,621.1,7.7,7.6
1588,247.27,577.5,6.6,6.4
1882,226.93,529.2,5.6,5.4
2231,205.33,477.4,4.9,4.6
2645,183.3,424,4.2,3.8
3135,161.67,371.1,8.8,8
3716,141.08,320.5,7.6,6.7
4405,122.01,273.2,6.6,5.7
5521,99.47,216.9,5.5,4.5
6189,89.31,191.3,10.2,8.2
7337,75.67,157,7.8,5.9
8697,63.8,127.1,7.7,5.9
10309,53.3,101.4,6.8,4.9
12220,43.643,79,7,5.1
14485,35.57,61.7,5.3,3.5
17170,28.237,47.8,9.4,6
20353,21.464,37.1,8.4,5.1
24126,15.043,29.3,7.4,4.4
28599,8.764,22.7,6.5,3.6
33900,2.8591,13.9,6.4,3.1
