M;LD;LL;RD2;RL2;K;R2
1;1.34;1.07;2.2201;1.4884;0;0
2;1.81;1.62;3.8416;3.1329;1;1.4884
3;2.14;1.98;5.2441;4.5369;2;2.2201
4;2.52;2.33;7.1289;6.1504;3;3.1329
5;2.80;2.66;8.7025;7.8961;4;3.8416
6;3.03;2.94;10.1124;9.5481;5;4.5369
7;3.28;3.15;11.7649;10.89;6;5.2441
8;3.49;3.39;13.2496;12.5316;7;6.1504
9;3.68;3.59;14.6689;13.9876;8;7.1289
10;3.86;3.78;16.0801;15.4449;9;7.8961
11;4.02;3.96;17.3889;16.8921;10;8.7025
;;;;;11;9.5481
;;;;;12;10.1124
;;;;;13;10.89
;;;;;14;11.7649
;;;;;15;12.5316
;;;;;16;13.2496
;;;;;17;13.9876
;;;;;18;14.6689
;;;;;19;15.4449
;;;;;20;16.0801
;;;;;21;16.8921
;;;;;22;17.3889
